epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,919.406,1.27919,0.57067,0.8789,0.99202,0.98939,0.99455,0.68041,1.1653,0.49336,0.82292,0.0008846,0.0008846,0.0008846
171,924.614,1.27396,0.53566,0.84862,0.99202,0.98939,0.99455,0.68041,1.1653,0.49336,0.82292,0.000878,0.000878,0.000878
172,929.918,1.23346,0.54926,0.86948,0.99463,0.98219,0.99444,0.68063,1.14597,0.47919,0.82365,0.0008714,0.0008714,0.0008714
173,935.222,1.28828,0.5586,0.84676,0.99463,0.98219,0.99444,0.68063,1.14597,0.47919,0.82365,0.0008648,0.0008648,0.0008648
174,940.58,1.23961,0.55948,0.85979,0.99176,0.99469,0.99433,0.70917,1.11719,0.46354,0.81826,0.0008582,0.0008582,0.0008582
175,946.14,1.22742,0.55192,0.87532,0.99176,0.99469,0.99433,0.70917,1.11719,0.46354,0.81826,0.0008516,0.0008516,0.0008516
176,951.745,1.26385,0.57418,0.84624,0.98917,0.96817,0.98091,0.68705,1.14046,0.50543,0.81928,0.000845,0.000845,0.000845
177,957.048,1.17297,0.53997,0.85393,0.98917,0.96817,0.98091,0.68705,1.14046,0.50543,0.81928,0.0008384,0.0008384,0.0008384
178,962.337,1.18699,0.54684,0.84783,0.98917,0.96817,0.98091,0.68705,1.14046,0.50543,0.81928,0.0008318,0.0008318,0.0008318
179,967.673,1.16468,0.53761,0.86738,0.99732,0.98878,0.99463,0.68136,1.12657,0.46018,0.81768,0.0008252,0.0008252,0.0008252
180,972.996,1.21894,0.60197,0.89928,0.99732,0.98878,0.99463,0.68136,1.12657,0.46018,0.81768,0.0008186,0.0008186,0.0008186
181,978.371,1.24691,0.55217,0.84599,0.99734,0.99364,0.99463,0.68925,1.12243,0.46474,0.81542,0.000812,0.000812,0.000812
182,983.741,1.26217,0.58416,0.92857,0.99734,0.99364,0.99463,0.68925,1.12243,0.46474,0.81542,0.0008054,0.0008054,0.0008054
183,989.05,1.16443,0.5012,0.81227,0.99632,0.99469,0.99441,0.69373,1.13572,0.4691,0.81478,0.0007988,0.0007988,0.0007988
184,994.343,1.21605,0.57289,0.87507,0.99632,0.99469,0.99441,0.69373,1.13572,0.4691,0.81478,0.0007922,0.0007922,0.0007922
185,999.654,1.24816,0.58067,0.88804,0.99467,0.99074,0.99428,0.69868,1.11548,0.46278,0.81464,0.0007856,0.0007856,0.0007856
186,1004.96,1.16465,0.53567,0.88306,0.99467,0.99074,0.99428,0.69868,1.11548,0.46278,0.81464,0.000779,0.000779,0.000779
187,1010.29,1.24065,0.55605,0.85769,0.99467,0.99074,0.99428,0.69868,1.11548,0.46278,0.81464,0.0007724,0.0007724,0.0007724
