epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,297.802,0.78068,0.53538,0.87628,0.9602,0.95167,0.97898,0.78618,0.76437,0.58115,0.90478,0.0007558,0.0007558,0.0007558
76,301.794,0.8084,0.57971,0.91889,0.9602,0.95167,0.97898,0.78618,0.76437,0.58115,0.90478,0.0007525,0.0007525,0.0007525
77,305.644,0.76116,0.52635,0.89154,0.9602,0.95167,0.97898,0.78618,0.76437,0.58115,0.90478,0.0007492,0.0007492,0.0007492
78,309.447,0.74691,0.5119,0.87949,0.96448,0.96288,0.98727,0.79702,0.78163,0.49882,0.90477,0.0007459,0.0007459,0.0007459
79,313.431,0.76333,0.51193,0.88847,0.96448,0.96288,0.98727,0.79702,0.78163,0.49882,0.90477,0.0007426,0.0007426,0.0007426
80,317.455,0.85536,0.61945,0.90571,0.96997,0.97412,0.98666,0.76999,0.82023,0.48287,0.91677,0.0007393,0.0007393,0.0007393
81,321.117,0.78802,0.54656,0.9084,0.96997,0.97412,0.98666,0.76999,0.82023,0.48287,0.91677,0.000736,0.000736,0.000736
82,324.8,0.75631,0.52879,0.9093,0.97596,0.97912,0.98684,0.77517,0.79972,0.4667,0.9149,0.0007327,0.0007327,0.0007327
83,328.505,0.75973,0.48618,0.86258,0.97596,0.97912,0.98684,0.77517,0.79972,0.4667,0.9149,0.0007294,0.0007294,0.0007294
84,332.248,0.7396,0.46967,0.85539,0.97246,0.98325,0.98761,0.79018,0.76669,0.45979,0.90492,0.0007261,0.0007261,0.0007261
85,335.916,0.76765,0.49275,0.86759,0.97246,0.98325,0.98761,0.79018,0.76669,0.45979,0.90492,0.0007228,0.0007228,0.0007228
86,339.623,0.77363,0.50683,0.88045,0.97045,0.98376,0.98872,0.79599,0.76075,0.46265,0.90104,0.0007195,0.0007195,0.0007195
87,343.331,0.72618,0.48049,0.84747,0.97045,0.98376,0.98872,0.79599,0.76075,0.46265,0.90104,0.0007162,0.0007162,0.0007162
88,347.047,0.77961,0.48827,0.88028,0.97045,0.98376,0.98872,0.79599,0.76075,0.46265,0.90104,0.0007129,0.0007129,0.0007129
89,350.785,0.69601,0.44809,0.86825,0.97666,0.97083,0.98783,0.8012,0.74334,0.46283,0.89797,0.0007096,0.0007096,0.0007096
90,354.705,0.7842,0.56509,0.94467,0.97666,0.97083,0.98783,0.8012,0.74334,0.46283,0.89797,0.0007063,0.0007063,0.0007063
91,358.726,0.71588,0.44786,0.84883,0.97438,0.97081,0.98804,0.79789,0.72967,0.45069,0.89401,0.000703,0.000703,0.000703
92,362.44,0.72725,0.46073,0.87428,0.97438,0.97081,0.98804,0.79789,0.72967,0.45069,0.89401,0.0006997,0.0006997,0.0006997
93,366.167,0.75598,0.5257,0.9193,0.9665,0.97448,0.9876,0.79152,0.7727,0.46283,0.89779,0.0006964,0.0006964,0.0006964
94,369.878,0.72681,0.4623,0.85824,0.9665,0.97448,0.9876,0.79152,0.7727,0.46283,0.89779,0.0006931,0.0006931,0.0006931
95,373.631,0.78238,0.47477,0.85315,0.9718,0.96752,0.98369,0.79253,0.73523,0.4704,0.89391,0.0006898,0.0006898,0.0006898
96,377.338,0.68367,0.45841,0.85692,0.9718,0.96752,0.98369,0.79253,0.73523,0.4704,0.89391,0.0006865,0.0006865,0.0006865
97,381.067,0.71764,0.46736,0.89113,0.97443,0.96752,0.98881,0.80027,0.70727,0.44535,0.89354,0.0006832,0.0006832,0.0006832
98,384.751,0.72056,0.55405,0.91595,0.97443,0.96752,0.98881,0.80027,0.70727,0.44535,0.89354,0.0006799,0.0006799,0.0006799
99,388.453,0.67339,0.43769,0.85759,0.97443,0.96752,0.98881,0.80027,0.70727,0.44535,0.89354,0.0006766,0.0006766,0.0006766
100,392.18,0.70339,0.44367,0.86207,0.9791,0.97844,0.98991,0.79741,0.75227,0.43277,0.90465,0.0006733,0.0006733,0.0006733
101,395.879,0.73045,0.4568,0.87211,0.9791,0.97844,0.98991,0.79741,0.75227,0.43277,0.90465,0.00067,0.00067,0.00067
102,399.59,0.71977,0.45224,0.86245,0.97537,0.97448,0.98954,0.81402,0.71922,0.42272,0.89531,0.0006667,0.0006667,0.0006667
103,403.514,0.66851,0.45154,0.88317,0.97537,0.97448,0.98954,0.81402,0.71922,0.42272,0.89531,0.0006634,0.0006634,0.0006634
104,407.523,0.71776,0.52345,0.85934,0.97339,0.98376,0.98881,0.80756,0.71365,0.40977,0.89046,0.0006601,0.0006601,0.0006601
105,411.201,0.70972,0.42695,0.85239,0.97339,0.98376,0.98881,0.80756,0.71365,0.40977,0.89046,0.0006568,0.0006568,0.0006568
106,414.949,0.71207,0.44195,0.86273,0.97663,0.96972,0.98738,0.81524,0.69777,0.41807,0.8865,0.0006535,0.0006535,0.0006535
107,418.943,0.71861,0.43284,0.8627,0.97663,0.96972,0.98738,0.81524,0.69777,0.41807,0.8865,0.0006502,0.0006502,0.0006502
108,422.836,0.66992,0.41434,0.85902,0.9594,0.96752,0.9868,0.80688,0.72819,0.46873,0.88622,0.0006469,0.0006469,0.0006469
109,426.5,0.71022,0.44467,0.87357,0.9594,0.96752,0.9868,0.80688,0.72819,0.46873,0.88622,0.0006436,0.0006436,0.0006436
110,430.179,0.66082,0.43957,0.86547,0.9594,0.96752,0.9868,0.80688,0.72819,0.46873,0.88622,0.0006403,0.0006403,0.0006403
111,433.911,0.6655,0.42017,0.87162,0.97062,0.9652,0.98806,0.80626,0.72431,0.46411,0.88626,0.000637,0.000637,0.000637
112,437.59,0.7109,0.43641,0.85039,0.97062,0.9652,0.98806,0.80626,0.72431,0.46411,0.88626,0.0006337,0.0006337,0.0006337
113,441.318,0.68532,0.41409,0.86029,0.96332,0.97488,0.98709,0.82404,0.66404,0.40716,0.87471,0.0006304,0.0006304,0.0006304
114,445.304,0.65343,0.41638,0.84197,0.96332,0.97488,0.98709,0.82404,0.66404,0.40716,0.87471,0.0006271,0.0006271,0.0006271
115,449.315,0.64971,0.40507,0.86183,0.97438,0.97081,0.98665,0.81029,0.6979,0.3971,0.88045,0.0006238,0.0006238,0.0006238
